list_code,list_title,mapped_category,mapped_subcategory
HO-02-08-00-00,"Landlord locking-out or shutting off utilities",Real Property,Tenant (Residential)
HO-02-09-00-00,"Settlements, Mediation, and Diversion from Eviction",Real Property,Litigation
HO-02-10-00-00,"Landlord Payments to Tenant for Eviction and Displacement",Real Property,Tenant (Residential)
HO-03-00-00-00,"Housing Assistance, Public Housing, and Subsidized Housing",Administrative Law,Welfare
HO-03-01-00-00,"Emergency Assistance for housing costs (rental assistance)",Administrative Law,Welfare
HO-03-01-01-00,"Local housing assistance programs",Administrative Law,Welfare
HO-03-01-02-00,"State housing assistance programs",Administrative Law,Welfare
HO-03-01-03-00,"Landlord refusing to accept emergency rent program payments",Real Property,Tenant (Residential)
HO-03-02-00-00,"Public Housing (with government as landlord)",Administrative Law,Welfare
HO-03-02-04-00,"Safety and security in public housing",Real Property,Tenant (Residential)
HO-03-02-05-00,"Public Housing sites, rehabilitation, and demolition",Real Property,Land Use/Zoning
HO-03-02-05-01,"Site selection for public housing",Real Property,Land Use/Zoning
HO-03-02-05-02,"Demolition of public housing",Real Property,Land Use/Zoning
HO-03-02-05-03,"Relocation rights and assistance for public housing",Real Property,Tenant (Residential)
HO-03-02-05-04,"Employment opportunities (Section 3) for public and subsidized housing contracts",Labor & Employment,General
HO-03-02-05-05,"Hope VI program to revitalize public housing",Real Property,Land Use/Zoning
HO-03-02-06-00,"Getting public housing",Administrative Law,Welfare
HO-03-02-06-01,"Eligibility and Selection Criteria for public housing",Administrative Law,Welfare
HO-03-02-06-02,"Preferences in who gets public housing",Administrative Law,Welfare
HO-03-02-06-03,"Residency requirements for public housing",Administrative Law,Welfare
HO-03-02-07-00,"Having visitors in public housing",Real Property,Tenant (Residential)
HO-03-03-00-00,"Federally Subsidized Housing (including Section 8/Housing Choice Vouchers)",Administrative Law,Welfare
HO-03-03-01-00,"Having visitors to federally subsidized rental home",Real Property,Tenant (Residential)
HO-03-03-02-00,"Getting a Housing Choice (Section 8) voucher for federally subsidized rental",Administrative Law,Welfare
HO-03-03-03-00,"Recertifying/reporting changes to income and family for Section 8 voucher",Administrative Law,Welfare
HO-03-03-04-00,"Termination of a federal rental subsidy",Administrative Law,Welfare
HO-03-03-06-00,"Subsidized Housing Removal, Conversion, or Preservation",Real Property,Tenant (Residential)
HO-03-03-06-01,"Landlord Opting out of federal subsidies program",Real Property,Tenant (Residential)
HO-03-03-07-00,"Relocating with a federal rent subsidy voucher",Administrative Law,Welfare
HO-03-04-00-00,"Rural rental assistance (formerly FMHA) programs",Administrative Law,Welfare
HO-03-05-00-00,"Affordable Housing development",Real Property,Land Use/Zoning
HO-03-05-01-00,"Low Income Housing Tax Credit to build affordable housing",Taxation,Business & Corporate
HO-03-07-00-00,"Immigrants' eligibility for housing programs",Administrative Law,Welfare
HO-03-08-00-00,"Single Room Occupancy housing options",Real Property,Tenant (Residential)
HO-04-00-00-00,"Buying a Home",Real Property,General (residential)
HO-04-01-00-00,"Federal subsidies to buy a home (Homeownership Voucher Program)",Real Property,"Government Loans (VA,FHA,Etc.)"
HO-04-02-00-00,"Paying for a home through a Bond/Contract for Deed",Real Property,General (residential)
HO-04-02-01-00,"Installment Land Sale Contracts",Real Property,General (residential)
HO-04-03-00-00,"Deeds for a home",Real Property,General (residential)
HO-04-04-00-00,"Closing on a home sale",Real Property,General (residential)
HO-04-05-00-00,"Cooperatives, Condominiums, and Homeowners Associations",Real Property,Homeowners Association
HO-05-00-00-00,"Problems with living conditions",Real Property,General (residential)
HO-05-01-00-00,"Poor living conditions in a rented home",Real Property,Tenant (Residential)
HO-05-01-01-00,"Poor living conditions in a federally subsidized (Section 8) home",Real Property,Tenant (Residential)
HO-05-01-01-01,"Challenging a federally subsidized rental's living conditions",Real Property,Tenant (Residential)
HO-05-01-01-02,"Housing Quality Standards for federally subsidized rentals",Real Property,Tenant (Residential)
HO-05-01-01-03,"Termination of 'Troubled Properties' as federally subsidized rentals",Real Property,Tenant (Residential)
HO-05-01-01-04,"Safety and security issues in subsidized housing",Real Property,Tenant (Residential)
HO-05-01-02-00,"Poor living conditions in a rental subsidized with rural rental assistance",Real Property,Tenant (Residential)
HO-05-01-03-00,"Poor living conditions in public housing",Real Property,Tenant (Residential)
HO-05-01-04-00,"Housing code compliance",Real Property,Tenant (Residential)
HO-05-01-05-00,"Disruptions to 'quiet enjoyment' of a rental",General Litigation,Neighbor Disputes/Nuisance
HO-05-01-06-00,"Landlord harassment or problem behavior",Real Property,Tenant (Residential)
HO-05-03-00-00,"Lead Paint and Poisoning",General Litigation,Mold Claims
HO-06-00-00-00,"Renting or leasing a home",Real Property,Tenant (Residential)
HO-06-01-00-00,"Security Deposit for a rented home",Real Property,Tenant (Residential)
HO-06-01-01-00,"Security deposits and charges for federally subsidized (Section 8) rentals",Real Property,Tenant (Residential)
HO-06-01-01-02,"Income-based rent rates for public housing",Real Property,Tenant (Residential)
HO-06-01-02-00,"Security deposits and charges for public housing",Real Property,Tenant (Residential)
HO-06-01-03-00,"Challenging a landlord's security deposit deductions",Real Property,Tenant (Residential)
HO-06-02-00-00,"Rent charges, increases, and control",Real Property,Tenant (Residential)
HO-06-02-01-00,"Rent issues in public housing",Real Property,Tenant (Residential)
HO-06-02-01-01,"Rent Ceilings or Flat Rent for public housing",Real Property,Tenant (Residential)
HO-06-02-01-03,"Utility allowances and charges for public or subsidized housing",Administrative Law,Utilities
HO-06-02-01-04,"Rent increases in public housing",Real Property,Tenant (Residential)
HO-06-02-02-00,"Rent issues in federally subsidized rentals",Real Property,Tenant (Residential)
HO-06-02-02-01,"Income-based rent rates for federally subsidized housing",Real Property,Tenant (Residential)
HO-06-02-02-02,"Rent ceilings or Flat Rent rates for federally subsidized rentals",Real Property,Tenant (Residential)
HO-06-02-03-00,"Rent issues in rural assistance subsidized homes",Real Property,Tenant (Residential)
HO-06-02-04-00,"Late fees, penalties, other charges for a rental home",Real Property,Tenant (Residential)
HO-06-02-04-01,"Pet fees, deposits, and rent",Real Property,Tenant (Residential)
HO-06-02-04-02,"Landlord taking property for rent owed",Real Property,Tenant (Residential)
HO-06-02-05-00,"Rent Control ",Real Property,Tenant (Residential)
HO-06-02-05-01,"Overcharges of rent in a rent control area",Real Property,Tenant (Residential)
HO-06-02-05-02,"Determining if a home is covered by rent control",Real Property,Tenant (Residential)
HO-06-02-05-03,"Rent control agencies' practices",Real Property,Tenant (Residential)
HO-06-02-05-04,"Eviction limits under Rent Control laws",Real Property,Tenant (Residential)
HO-06-02-05-05,"Rent control jurisdictions",Real Property,Tenant (Residential)
HO-06-02-05-07,"Succession rights and process in Rent Control homes",Real Property,Tenant (Residential)
HO-06-03-00-00,"Tenant Rights, Organizations, and Participation",Real Property,Tenant (Residential)
HO-06-03-01-00,"Tenants' participation and organization in subsidized housing",Real Property,Tenant (Residential)
HO-06-03-02-00,"Tenants' participation and organization in public housing",Real Property,Tenant (Residential)
HO-06-03-03-00,"Tenants' Rights around Evictions",Real Property,Tenant (Residential)
HO-06-04-00-00,"Landlord access to a rental",Real Property,Tenant (Residential)
HO-06-04-01-00,"Landlord access to a federally subsidized rental",Real Property,Tenant (Residential)
HO-06-04-02-00,"Landlord or Housing Authority access to a public housing rental",Real Property,Tenant (Residential)
HO-06-05-00-00,"Leases & Rental Agreements for a rental home",Real Property,Tenant (Residential)
HO-06-05-01-00,"Leases for a federally subsidized home",Real Property,Tenant (Residential)
HO-06-05-02-00,"Changing a rental agreement or lease",Real Property,Tenant (Residential)
HO-06-06-00-00,"Local regulations of rental housing",Real Property,Land Use/Zoning
HO-06-06-02-00,"State regulations of rental housing",Real Property,Land Use/Zoning
HO-06-06-03-00,"Rental protections for those with HIV/AIDS",Real Property,Tenant (Residential)
HO-06-07-00-00,"Problems with paying rent",Real Property,Tenant (Residential)
HO-06-10-00-00,"Ending a rental lease early",Real Property,Tenant (Residential)
HO-06-11-00-00,"Landlord suing tenant for money",Real Property,Litigation
HO-06-12-00-00,"Abandoned Personal Property in Rental Home",Real Property,Tenant (Residential)
HO-06-13-00-00,"Renters' housing issues after a natural disaster",Real Property,Tenant (Residential)
HO-06-13-00-00,"Having pets or assistance animals in a rental home",Real Property,LLTN – ADA issues/Animals/Accommodations
HO-07-00-00-00,"Utilities, Energy, and Heating at home",Administrative Law,Utilities
HO-07-01-00-00,"Utility disconnection and reconnection",Administrative Law,Utilities
HO-08-00-00-00,"Foreclosure on a Home",Real Property,Foreclosure
HO-08-01-00-00,"Defenses against a Foreclosure",Real Property,Foreclosure
HO-08-02-00-00,"Stopping a foreclosure through a 'redemption' (paying off loan in full)",Real Property,Foreclosure
HO-08-03-00-00,"Stopping a foreclosure by reinstating (catching up with) the loan",Real Property,Foreclosure
HO-08-06-00-00,"Tenant options when landlord is in foreclosure or bankruptcy",Real Property,Tenant (Residential)
HO-08-06-01-00,"Another person (receiver) taking over from a landlord",Real Property,Tenant (Residential)
HO-09-00-00-00,"Owning a Home",Real Property,General (residential)
HO-09-02-01-00,"Clearing Title to one's home",Real Property,General (residential)
HO-09-03-00-00,"Zoning and Land Use of one’s property",Real Property,Land Use/Zoning
HO-09-04-00-00,"Property Taxes",Real Property,Property Tax
HO-09-04-01-00,"Property Tax Appeals, Refunds and Abatements",Real Property,Property Tax
HO-09-05-00-00,"Mortgages and other financing for a home",Consumer Law,Mortgage Issues (non-foreclosure)
HO-09-05-01-00,"Federally-Subsidized Mortgage Loans",Real Property,"Government Loans (VA,FHA,Etc.)"
HO-09-05-01-01,"HUD-Insured Mortgages",Real Property,"Government Loans (VA,FHA,Etc.)"
HO-09-05-02-00,"Mortgages for Veterans",Administrative Law,Military/Veterans
HO-09-05-03-00,"Mortgage Rescue Scams",Consumer Law,Mortgage Issues (non-foreclosure)
HO-09-05-04-00,"Reverse Mortgages (loans using home equity conversion)",Consumer Law,Mortgage Issues (non-foreclosure)
HO-09-05-06-00,"Mortgage Predatory Lending",Consumer Law,Mortgage Issues (non-foreclosure)
HO-09-06-00-00,"Dividing (Partition) a home with another owner",Real Property,Litigation
HO-10-00-00-00,"Housing after a Disaster",Real Property,General (residential)
HO-10-01-00-00,"Eviction issues during a public health emergency",Real Property,Tenant (Residential)
HO-10-03-00-00,"FEMA Housing Assistance",Administrative Law,General (Federal)
HO-11-00-00-00,"Housing issues after contact with police",Real Property,Tenant (Residential)
HO-12-00-00-00,"Zoning issues related to housing",Real Property,Land Use/Zoning
HO-13-00-00-00,"Homelessness and Housing Insecurity",Real Property,Tenant (Residential)
HO-14-00-00-00,"Mobile Homes",Real Property,Mobile Home (Tenant/Owner)
HO-14-01-00-00,"Owning a mobile home",Real Property,Mobile Home (Tenant/Owner)
HO-14-02-00-00,"Renting in a Mobile Home Park",Real Property,Mobile Home (Tenant/Owner)
HO-14-02-01-00,"Eviction from a mobile home park",Real Property,Mobile Home (Tenant/Owner)
IM-00-00-00-00,"Immigration",International Law,Gen. Immigration/Visas
IM-01-00-00-00,"Deportation or Removal of immigrants",International Law,Deportation
IM-01-01-00-00,"Criminal conviction leading to deportation",International Law,Deportation
IM-01-02-00-00,"Stopping deportation through Withholding of Removal",International Law,Deportation
IM-01-03-00-00,"Waivers of Inadmissibility, Deportation, or Removal",International Law,Deportation
IM-02-00-00-00,"Detention of immigrants",International Law,Deportation
IM-02-01-00-00,"Bond Hearing for a detained immigrant",International Law,Deportation
IM-02-02-00-00,"Parole for immigrants",International Law,Deportation
IM-03-00-00-00,"Public Benefits for immigrants",Administrative Law,Welfare
IM-03-04-00-00,"Immigrants' access to health care",General Litigation,Health Law/HIPAA
IM-03-04-01-00,"Immigrants' eligibility for Medicaid",Administrative Law,Medicare/Medicaid
IM-04-00-00-00,"Options for immigration status, visas, permits, and travel papers",International Law,Gen. Immigration/Visas
IM-04-01-00-00,"Deferred Action immigration status",International Law,Gen. Immigration/Visas
IM-04-02-00-00,"Legalization of undocumented immigrant",International Law,Gen. Immigration/Visas
IM-05-00-00-00,"Political asylum",International Law,Gen. Immigration/Visas
IM-06-00-00-00,"Immigrants' rights",General Litigation,Civil Rights
IM-06-01-00-00,"Discrimination against Immigrants",General Litigation,Civil Rights
IM-07-00-00-00,"Sponsoring an immigrant",International Law,Gen. Immigration/Visas
IM-07-01-00-00,"Sponsoring an immigrant for a work visa",International Law,Gen. Immigration/Visas
IM-08-00-00-00,"Border searches",International Law,"Customs, Quotas & Duties"
IM-09-00-00-00,"Refugees",International Law,Gen. Immigration/Visas
IM-10-00-00-00,"Going to immigration interviews and hearings",International Law,Litigation
IM-11-00-00-00,"Undocumented immigrants",International Law,Gen. Immigration/Visas
IM-11-01-00-00,"Immigrants working when undocumented or without authorization",Labor & Employment,General
IM-12-00-00-00,"Immigration options for victims of domestic violence",International Law,Family Law
IM-12-01-00-00,"Green Card options for victims of domestic abuse",International Law,Family Law
IM-12-01-01-00,"Immigration status through U-Visa for crime victims",International Law,Gen. Immigration/Visas
IM-12-02-00-00,"Canceling Removal Proceedings for domestic abuse victims",International Law,Deportation
IM-13-00-00-00,"Migrant and seasonal worker employment",Labor & Employment,General
IM-14-00-00-00,"Work as an immigrant",Labor & Employment,General
M0-12-01-08-00,"Military Service-members' protection against collection and repossession",Administrative Law,Military/Veterans
MO-00-00-00-00,"Money, Debt, and Consumer Issues",Consumer Law,General
MO-02-00-00-00,"Paying for medical care",General Litigation,Health Law/HIPAA
MO-02-01-00-00,"Health Insurance",General Litigation,Insurance (Health/Disability)
MO-02-01-01-00,"Health care coverage through employer",Labor & Employment,Pensions/Benefits/Erisa
MO-02-01-01-01,"COBRA health insurance post-employement",Labor & Employment,Pensions/Benefits/Erisa
MO-02-01-02-00,"COBRA coverage for dependents",Labor & Employment,Pensions/Benefits/Erisa
MO-02-03-00-00,"Free and Low-Cost medical care",General Litigation,Health Law/HIPAA
MO-02-03-01-00,"Free or low-cost care through Hill-Burton facilities",General Litigation,Health Law/HIPAA
MO-02-04-00-00,"Managed Care plans",General Litigation,Health Law/HIPAA
MO-02-05-00-00,"Debt collection for medical costs",Debtor/Creditor,Collection/Harassment
MO-03-00-00-00,"Contracts, Warranties, and Deceptive Trade Practices",Consumer Law,General
MO-03-02-00-00,"Corporate and Commercial Contracts",Business & Corporate,"General (Contracts Business Organization)"
MO-03-02-01-00,"Arts & Entertainment Contracts",Business & Corporate,Entertainment
MO-03-03-00-00,"Consumer Contract issues",Consumer Law,General
MO-03-03-01-00,"Building Contractors and Construction problems",Business & Corporate,Construction
MO-03-03-02-00,"Consumer Fraud and Misrepresentation",Consumer Law,General
MO-03-03-02-01,"False advertising, deceptive pricing, and unfair trade",Consumer Law,General
MO-03-03-03-00,"Installment Contracts",Consumer Law,General
MO-03-03-04-00,"Installment Purchases and Rent-to-Own",Consumer Law,General
MO-03-04-00-00,"Warranty issues",Consumer Law,General
MO-03-04-01-00,"As-Is Warranty issues",Consumer Law,Automobiles/RVs/Mobile Homes
MO-04-00-00-00,"Credit practices and Credit reports",Consumer Law,General
MO-04-01-00-00,"Building good credit",Consumer Law,General
MO-04-02-00-00,"Repairing credit",Consumer Law,General
MO-04-03-00-00,"Finding and understanding a credit report",Consumer Law,General
MO-04-04-00-00,"Accessing credit and borrowing money",Consumer Law,General
MO-05-00-00-00,"Financial Literacy",Consumer Law,General
MO-05-01-00-00,"Using Bank Accounts",Consumer Law,Banking
MO-05-02-00-00,"Using Checks",Consumer Law,Banking
MO-05-03-00-00,"Using Debit Cards",Consumer Law,Banking
MO-05-04-00-00,"Using Credit Cards",Consumer Law,Banking
MO-06-00-00-00,"Identity Theft and Lost Credit Cards",Consumer Law,Identity Theft
MO-06-01-00-00,"Financial Identity Theft",Consumer Law,Identity Theft
MO-06-02-00-00,"Criminal Identity Theft with police",Consumer Law,Identity Theft
MO-07-00-00-00,"Insurance",Consumer Law,Insurance
MO-07-02-00-00,"Homeowner's Insurance",Consumer Law,Insurance
MO-07-03-00-00,"Renters' Insurance",Consumer Law,Insurance
MO-07-04-00-00,"Insurance Scams and Fraud",Consumer Law,Insurance
MO-07-05-00-00,"Life Insurance",Consumer Law,Insurance
MO-07-05-01-00,"Service Members' Group Life Insurance",Administrative Law,Military/Veterans
MO-08-00-00-00,"Loans",Debtor/Creditor,General (Debtor)
MO-08-01-00-00,"Predatory Lending",Consumer Law,General
MO-08-02-00-00,"Student Loans and Financial Aid",Debtor/Creditor,Student Loans
MO-08-02-01-00,"Student Loan Discharge or Cancellation",Debtor/Creditor,Student Loans
MO-08-02-02-00,"Student Loan Forgiveness",Debtor/Creditor,Student Loans
MO-08-02-03-00,"Student Loan Default and Delinquency",Debtor/Creditor,Student Loans
MO-08-02-04-00,"Student Loan Fraud",Debtor/Creditor,Student Loans
MO-08-02-05-00,"Applying for Financial Aid (FAFSA)",Debtor/Creditor,Student Loans
MO-08-04-00-00,"Payday loans",Debtor/Creditor,General (Debtor)
MO-08-05-00-00,"Understanding the terms of a loan or credit card",Consumer Law,General
MO-08-06-00-00,"Canceling (or rescission of) a loan",Consumer Law,General
MO-08-07-00-00,"Fees and Finance Charges for a loan",Consumer Law,General
MO-08-08-00-00,"High interest rates and Usury protections",Consumer Law,General
MO-09-00-00-00,"Taxes",Taxation,Personal Income
MO-09-01-00-00,"Income Taxes",Taxation,Personal Income
MO-09-01-01-00,"Getting your taxes done for free (VITA program)",Taxation,Personal Income
MO-09-01-02-00,"Spouse's Tax Debt and Innocent Spouse Relief",Taxation,Personal Income
MO-09-02-00-00,"Earned Income Tax Credit (EITC)",Taxation,Personal Income
MO-10-00-00-00,"Small Claims lawsuits",Consumer Law,Small Claims Advice
MO-10-01-00-00,"Going to Small Claims court",Consumer Law,Small Claims Advice
MO-11-00-00-00,"Discrimination against a customer",General Litigation,Civil Rights
MO-12-00-00-00,"Debt and Lending Money",Debtor/Creditor,General (Debtor)
MO-12-01-00-00,"Debt Collection, Repossession, Garnishment",Debtor/Creditor,Collection/Harassment
MO-12-01-01-00,"Dealing with Abusive Debt Collection and Harassment",Debtor/Creditor,Collection/Harassment
MO-12-01-01-01,"Fair Debt Collection Practices Act protections",Debtor/Creditor,Collection/Harassment
MO-12-01-02-00,"Being a Collection-Proof Debtor",Debtor/Creditor,General (Debtor)
MO-12-01-03-00,"Debt Management Counseling",Debtor/Creditor,Debt Counseling/Workouts
MO-12-01-04-00,"Deficiency Judgment issues",Debtor/Creditor,Judgement Collection
MO-12-01-05-00,"Frozen Bank Account issues",Debtor/Creditor,Collection/Harassment
MO-12-01-06-00,"Garnishment issues",Debtor/Creditor,Collection/Harassment
MO-12-01-06-01,"Exemptions from Garnishment",Debtor/Creditor,Collection/Harassment
MO-12-01-06-02,"Wage Garnishment or Assignment issues",Debtor/Creditor,Collection/Harassment
MO-12-01-06-03,"Non-Wage Garnishment issues",Debtor/Creditor,Collection/Harassment
MO-12-01-07-00,"Liens on Property ",Debtor/Creditor,General (Debtor)
MO-12-01-08-00,"Repossession of a car",Consumer Law,Automobiles/RVs/Mobile Homes
MO-12-01-09-00,"Being a Defendant in a Debt Collection Lawsuit",Debtor/Creditor,General (Debtor)
MO-12-01-10-00,"Personal Property Exemptions from debt collection",Debtor/Creditor,General (Debtor)
MO-13-00-00-00,"Bankruptcy",Bankruptcy,Personal
MO-13-01-00-00,"Chapter 7 Bankruptcy for people with limited income",Bankruptcy,Personal
MO-13-02-00-00,"Chapter 13 Bankruptcy for people with regular income",Bankruptcy,Personal
MO-13-05-00-00,"Discharge of Debts in Bankruptcy",Bankruptcy,Personal
MO-13-06-00-00,"Exemptions to protect property during bankruptcy",Bankruptcy,Personal
MO-13-07-00-00,"Automatic Stays on creditors during bankruptcy",Bankruptcy,Creditors
MO-13-08-00-00,"Exceptions to Debt Discharges during Bankruptcy",Bankruptcy,Personal
MO-13-09-00-00,"Chapter 11 Bankruptcy for businesses",Bankruptcy,Business
MO-13-10-00-00,"Chapter 12 Bankruptcy for farmers or fishermen",Bankruptcy,Farms
MO-14-00-00-00,"Door-to-door Sales, Telemarketing, and Spam",Consumer Law,General
MO-14-01-00-00,"Telemarketers",Consumer Law,General
MO-14-02-00-00,"Door-to-Door Sales",Consumer Law,General
MO-14-03-00-00,"Spam on Email or Text",Consumer Law,General
NA-00-00-00-00,"Native American Issues and Tribal Law",General Litigation,Other
NA-01-00-00-00,"Government and lands of Native Americans",General Litigation,Other
NA-01-01-00-00,"Jurisdiction of Native American tribes",General Litigation,Other
NA-01-02-00-00,"Native American reservations",General Litigation,Other
NA-01-03-00-00,"Sovereignty of Native American tribes",General Litigation,Other
NA-01-04-00-00,"Treaties and Native Americans",General Litigation,Other
NA-01-05-00-00,"Tribal Government",General Litigation,Other
NA-02-00-00-00,"Native-based legal services",General Litigation,Other
NA-03-00-00-00,"Family and child support for Native Americans",Family Law,Other
NA-03-01-00-00,"Divorce for Native American couples",Family Law,"General (Divorce/Separation)"
NA-03-02-00-00,"Native American children's custody by non-parents (Indian Child Welfare Act)",Family Law,Child Custody/Visitation
NA-04-00-00-00,"Tribal enrollment",General Litigation,Other
NA-05-00-00-00,"Native American crime victims",General Litigation,Crime Victim
NA-06-00-00-00,"Education issues for Native Americans",Administrative Law,Student Rights
NA-07-00-00-00,"Public Benefits for Native Americans",Administrative Law,Welfare
NA-07-01-00-00,"Tribal TANF",Administrative Law,Welfare
NA-08-00-00-00,"Rights and protections for Native Americans",General Litigation,Civil Rights
NA-08-01-00-00,"Native American hunting and fishing rights",Criminal Law,Game Violations
NA-09-00-00-00,"Health Care for Native Americans",General Litigation,Health Law/HIPAA
NA-09-01-00-00,"Indian Health Service",General Litigation,Health Law/HIPAA
NA-10-00-00-00,"Criminal Tribal Courts",Criminal Law,Other
RI-00-00-00-00,"Civil and Human Rights",General Litigation,Civil Rights
RI-01-00-00-00,"Discrimination by Government (Equal Protection)",General Litigation,Civil Rights
RI-02-00-00-00,"Right to a free lawyer",General Litigation,General Litigation
RI-03-00-00-00,"Disability Rights and Discrimination",General Litigation,ADA
RI-03-01-00-00,"Disability rights around housing",Real Property,LLTN – ADA issues/Animals/Accommodations
RI-03-01-01-00,"Housing rights for people with substance use disorder disability",Real Property,LLTN – ADA issues/Animals/Accommodations
RI-03-01-01-00,"Assistance animals in rental housing",Real Property,LLTN – ADA issues/Animals/Accommodations
RI-03-02-00-00,"Disability rights under the Americans with Disabilities Act (ADA)",General Litigation,ADA
RI-03-02-01-00,"Websites' accessibility requirements",General Litigation,ADA
RI-03-02-02-00,"Reasonable Accommodation standard under ADA",General Litigation,ADA
RI-03-02-03-00,"Accessibility rights under ADA",General Litigation,ADA
RI-03-02-04-00,"ADA Section 508 accessibility for federal government",General Litigation,ADA
RI-03-02-05-00,"Architectural barriers and accessibility under the ADA",General Litigation,ADA
RI-03-02-06-00,"Assistance animals in public",General Litigation,Animal Law
RI-03-03-00-00,"HIV/AIDS discrimination",General Litigation,Civil Rights
RI-03-04-00-00,"Disability discrimination in government programs",General Litigation,ADA
RI-04-00-00-00,"Voting Rights",General Litigation,Civil Rights
RI-05-00-00-00,"First Amendment Rights",General Litigation,Civil Rights
RI-05-01-00-00,"First Amendment protections of freedom of religion",General Litigation,Civil Rights
RI-05-02-00-00,"First Amendment protections of freedom of association",General Litigation,Civil Rights
RI-05-03-00-00,"First Amendment protections of freedom of speech",General Litigation,Civil Rights
RI-06-00-00-00,"LGBTQ Rights",Family Law,Same Sex Couples & Parents
RI-07-00-00-00,"Human Rights",General Litigation,Civil Rights
RI-08-00-00-00,"Workers' Rights",Labor & Employment,General
RI-08-01-00-00,"Agricultural workers' protections",Labor & Employment,General
RI-08-01-01-00,"Poultry workers' protections",Labor & Employment,General
RI-08-01-02-00,"Racial and ethnic discrimination in agricultural work",Labor & Employment,Discrimination
RI-09-00-00-00,"Mental Health Rights",Criminal Law,Mental Commitment
RI-09-01-00-00,"Rights to refuse mental health treatment",Criminal Law,Mental Commitment
RI-09-02-00-00,"Right to mental health treatment",Criminal Law,Mental Commitment
RI-10-00-00-00,"Prisoners' Rights",General Litigation,Civil Matter for Inmates
RI-11-00-00-00,"Women's Rights",General Litigation,Civil Rights
RI-12-00-00-00,"Privacy Rights and Protections",General Litigation,General Torts/Privacy
RI-13-00-00-00,"Rights against government searches or arrests",General Litigation,Civil Rights
RI-14-00-00-00,"Right to Travel",General Litigation,Civil Rights
RI-15-00-00-00,"Sex workers' Rights",General Litigation,Civil Rights
RI-16-00-00-00,"Human Trafficking rights and protections",General Litigation,Crime Victim
RI-17-00-00-00,"Religious Freedoms and Discrimination",General Litigation,Civil Rights
RI-18-00-00-00,"Racial Justice and discrimination",General Litigation,Civil Rights
RI-19-00-00-00,"Age Discrimination",Labor & Employment,Discrimination
RI-20-00-00-00,"Rights when dealing with the government",General Litigation,Civil Rights
RI-21-00-00-00,"Language Access rights",General Litigation,Civil Rights
TO-00-00-00-00,"Accidents and Torts",General Litigation,Personal Injury
TO-01-00-00-00,"Being Physically injured or harmed by another",General Litigation,Personal Injury
TO-01-01-00-00,"Suing a person or business for a personal injury",General Litigation,Personal Injury
TO-02-00-00-00,"Personal data privacy breach and protections",General Litigation,General Torts/Privacy
TO-03-00-00-00,"Getting Care and Compensation for an injury",General Litigation,Personal Injury
TO-04-00-00-00,"Suing someone, or being sued",General Litigation,General Litigation
TO-04-01-00-00,"Car Accident lawsuits",General Litigation,Personal Injury
TO-04-02-00-00,"Being a Plaintiff in lawsuit (suing someone)",General Litigation,General Litigation
TO-04-03-00-00,"Being a Defendant in a lawsuit (being sued)",General Litigation,General Litigation
TO-04-04-00-00,"Seeking an injunction to compel an action",General Litigation,General Litigation
TO-04-04-01-00,"Seeking a preliminary injunction before a trial ends",General Litigation,General Litigation
TO-04-05-00-00,"Suing to enforce a law (Private right of action)",General Litigation,General Litigation
TO-04-06-00-00,"Outcomes a plaintiff can seek in a lawsuit",General Litigation,General Litigation
TO-04-07-00-00,"Suing the government for civil rights violations",General Litigation,Civil Rights
TO-04-07-01-00,"Getting civil rights lawyer's fees paid",General Litigation,Civil Rights
TO-05-00-00-00,"Harassment by another person",General Litigation,Online Harassment/Doxing/Bullying
TR-00-00-00-00,"Traffic and Cars",Criminal Law,Traffic Offenses
TR-01-00-00-00,"Car injuries to people or property",General Litigation,Personal Injury
TR-02-00-00-00,"Dealing with traffic and parking tickets",Criminal Law,Traffic Offenses
TR-02-01-00-00,"Speeding and Moving Violations",Criminal Law,Traffic Offenses
TR-02-02-00-00,"License and Registration Traffic Tickets",Criminal Law,Traffic Offenses
TR-02-03-00-00,"No Insurance Traffic Tickets",Criminal Law,Traffic Offenses
TR-02-04-00-00,"Parking Tickets",Criminal Law,Traffic Offenses
TR-02-05-00-00,"Driving Under the Influence",Criminal Law,DUII/DWS
TR-02-06-00-00,"Going to Traffic Court",Criminal Law,Traffic Offenses
TR-03-00-00-00,"Driver's licenses or permits",Administrative Law,DMV (Non-Criminal)
TR-03-01-00-00,"Driver's License Suspension",Administrative Law,DMV (Non-Criminal)
TR-03-01-01-00,"Driver's License Suspension for court fines",Administrative Law,DMV (Non-Criminal)
TR-03-02-00-00,"Reinstating a Driver's License",Administrative Law,DMV (Non-Criminal)
TR-04-00-00-00,"Issues with Owning a Car",Consumer Law,Automobiles/RVs/Mobile Homes
TR-04-01-00-00,"Car Payment Issues",Consumer Law,Automobiles/RVs/Mobile Homes
TR-04-02-00-00,"Issues with Purchasing and Financing a Car",Consumer Law,Automobiles/RVs/Mobile Homes
TR-04-03-00-00,"Car Repair issues",Consumer Law,Automobiles/RVs/Mobile Homes
TR-04-04-00-00,"Warranties and contracts for a car",Consumer Law,Automobiles/RVs/Mobile Homes
TR-04-04-01-00,"Contracts for Car Repairs",Consumer Law,Automobiles/RVs/Mobile Homes
TR-04-05-00-00,"Vehicle/Auto License or Registration",Administrative Law,DMV (Non-Criminal)
